event,gender,clas_s,typ,wind,name,year,position,school,series,mark,points
Long Jump,Girls,2,Finals,-0.4,"Pherson, Shanice",12,4, Holmwood Technical,[],5.75m,5
Long Jump,Girls,2,Finals,-0.7,"James, Opal",12,5, St.Elizabeth Tec,[],5.68m,4
Long Jump,Girls,2,Finals,-0.9,"Wolfe, Tatiana",12,6, Convent OF Mercy,[],J5.68m,3
Long Jump,Girls,2,Finals,-0.1,"Gray, Runique",12,7, St. Jago High,[],5.53m,2
Long Jump,Girls,2,Finals,-0.4,"Rose, Andriene",12,8, Wolmers Girls' S,[],5.45m,1
Long Jump,Girls,2,Finals,-0.7,"Chanteloupe, Kemeisha",12,9, Manchester High,[],5.29m,0
Long Jump,Girls,2,Finals,-0.7,"Reynolds, Kelsey",12,10, Convent OF Mercy,[],5.10m,0
Long Jump,Girls,2,Finals,-1.0,"Archibald, Andine",12,11, Knox College,[],4.98m,0
Long Jump,Girls,2,Finals,-0.8,"Maitland, Recalia",12,12, Manchester High,[],4.85m,0
Long Jump,Girls,3,Finals,0.4,"Spencer, Samara",12,1, Hydel High School,[],6.06mR,9
Long Jump,Girls,3,Finals,3.0,"Baker, Colestia",12,2, Holmwood Technical,[],5.96m,7
Long Jump,Girls,3,Finals,2.2,"Nobel, Jessicca",12,3, The Queens School,[],5.67m,6
Long Jump,Girls,3,Finals,3.9,"Carty, Amanda",12,4, Hydel High School,[],5.63m,5
Long Jump,Girls,3,Finals,4.3,"Wright, Shanique",12,5, Manchester High,[],5.53m,4
Long Jump,Girls,3,Finals,6.0,"Petrie, Jody-Ann",12,6, Excelsior High,[],5.46m,3
Long Jump,Girls,3,Finals,2.0,"Forrester, Annastacia",12,7, Manchester High,[],J5.46m,2
Long Jump,Girls,3,Finals,3.4,"Evans, Jamique",12,8, Vere Technical High,[],5.43m,1
Long Jump,Girls,3,Finals,4.1,"Hickling, Tissanna",12,9, St. Jago High,[],5.38m,0
Long Jump,Girls,3,Finals,2.2,"Spence, Danielle",12,10, Wolmers Girls' S,[],5.19m,0
Long Jump,Girls,3,Finals,1.1,"Venair, Ave-Anna",12,11, Excelsior High,[],5.14m,0
Long Jump,Girls,3,Finals,6.4,"Quarrie, Romae",12,12, Campion College,[],5.09m,0
Long Jump,Girls,4,Finals,-0.4,"Swaby, Abigail",12,1, Vere Technical High,[],5.46m,9
Long Jump,Girls,4,Finals,-0.6,"Barnes, Osheca",12,2, Hydel High School,[],5.03m,7
Long Jump,Girls,4,Finals,-0.5,"Morris, D'Andra",12,3, ST Andrew High,[],5.00m,6
Long Jump,Girls,4,Finals,-0.5,"Harriot, Jhenelle",12,4, Wolmers Girls' S,[],4.99m,5
Long Jump,Girls,4,Finals,-0.2,"White, Anthonette",12,5, Holy Childhood High,[],4.92m,4
Long Jump,Girls,4,Finals,-0.5,"Lowe, Janette",12,6, Hydel High School,[],4.85m,3
Long Jump,Girls,4,Finals,-0.2,"Russell, Zinedine",12,7, Convent OF Mercy,[],4.78m,2
Long Jump,Girls,4,Finals,-0.4,"Hyatt, Ajoya",12,8, Manchester High,[],4.72m,1
Long Jump,Girls,4,Finals,-0.9,"Shaw, Justine",12,9, Wolmers Girls' S,[],4.65m,0
Long Jump,Girls,4,Finals,-0.4,"Bogle, Jenique",12,10, Camperdown,[],4.58m,0
Long Jump,Girls,4,Finals,-0.5,"Tulloch, Sankyaw",12,10, Tacius Golding High,[],4.58m,0
Long Jump,Girls,4,Finals,-0.8,"Farquharson, Leone",12,12, Campion College,[],4.45m,0
Long Jump,Boys,1,Finals,-1.1,"Grant, Keneil",12,1, Kingston College,[],7.27m,9
Long Jump,Boys,1,Finals,-1.1,"Pullen, Clive",12,2, Kingston College,[],7.15m,7
Long Jump,Boys,1,Finals,-0.8,"Fairclough, Javari",12,3, Calabar High School,[],7.09m,6
Long Jump,Boys,1,Finals,-0.8,"Otuonye, Ifeanye",12,4, Munro College,[],6.83m,5
Long Jump,Boys,1,Finals,-1.6,"Smith, Maulford",12,5, Wolmers' Boys SC,[],6.80m,4
Long Jump,Boys,1,Finals,-1.6,"Phynn, Nicholas",12,6, Jamaica College,[],6.75m,3
Long Jump,Boys,1,Finals,-0.9,"Nelson, Sharlanjo",12,7, Jamaica College,[],6.74m,2
Long Jump,Boys,1,Finals,-0.9,"Spence, Debarie",12,8, Excelsior High,[],J6.74m,1
Long Jump,Boys,1,Finals,-1.1,"Williams, Akiem",12,9, Holmwood Technical,[],6.66m,0
Long Jump,Boys,1,Finals,-1.1,"Cummings, Adam",12,10, Wolmers' Boys SC,[],6.64m,0
Long Jump,Boys,1,Finals,-1.1,"Carter, Lincoln",12,11, Munro College,[],6.62m,0
Long Jump,Boys,1,Finals,-2.1,"Edie, Sedekie",12,12, Calabar High School,[],6.46m,0
Triple Jump,Boys,Open,Finals,1.2,"Pullen, Clive",12,1, Kingston College,[],15.71m,9
Triple Jump,Boys,Open,Finals,0.2,"Robinson, Demar",12,2, Calabar High School,[],15.34m,7
Triple Jump,Boys,Open,Finals,-1.1,"Dunkley, Fitzroy",12,3, Jamaica College,[],15.07m,6
Triple Jump,Boys,Open,Finals,-1.4,"Smith, Owen",12,4, Calabar High School,[],14.43m,5
Triple Jump,Boys,Open,Finals,-1.1,"Phynn, Nicholas",12,5, Jamaica College,[],J14.43m,4
Triple Jump,Boys,Open,Finals,0.2,"Rookwood, Alex",12,6, Hydel High School,[],14.39m,3
Triple Jump,Boys,Open,Finals,-0.5,"Ricketts, Michane",12,7, Edwin Allen,[],14.34m,2
Triple Jump,Boys,Open,Finals,0.2,"Blake, Jevaun",12,8, Wolmers' Boys SC,[],14.18m,1
Triple Jump,Boys,Open,Finals,-1.2,"Battick, Javon",12,9, St. Jago High,[],13.82m,0
Triple Jump,Boys,Open,Finals,-1.0,"Benjamin, Carlington",12,10, Kingston College,[],13.67m,0
Triple Jump,Boys,Open,Finals,-0.7,"Lynch, Romario",12,11, St.Elizabeth Tec,[],13.42m,0
Triple Jump,Boys,Open,Finals,NWI,"Hyde, Javauny",12,, Wolmers' Boys SC,[],ND,"['ND', '', '', 'NWI']"
Triple Jump,Girls,Open,Finals,-2.1,"Allen, Sabina",12,1, Vere Technical High,[],12.83m,9
Triple Jump,Girls,Open,Finals,-0.8,"Lawrence, Shardia",12,2, Vere Technical High,[],12.40m,7
Triple Jump,Girls,Open,Finals,0.4,"James, Opal",12,3, St.Elizabeth Tec,[],12.13m,6
Triple Jump,Girls,Open,Finals,-1.2,"Moncrieffe, Tamara",12,4, Holmwood Technical,[],11.89m,5
Triple Jump,Girls,Open,Finals,0.7,"Carty, Amanda",12,5, Hydel High School,[],11.82m,4
Triple Jump,Girls,Open,Finals,-0.6,"Kay, Shenelle",12,6, Convent OF Mercy,[],11.73m,3
Triple Jump,Girls,Open,Finals,0.4,"Coombs, Latavia",12,7, Holmwood Technical,[],11.72m,2
Triple Jump,Girls,Open,Finals,NWI,"Williamson, Kimberly",12,8, Edwin Allen High,[],11.55m,1
Triple Jump,Girls,Open,Finals,0.9,"Walters, Tamoya",12,9, St. Jago High,[],11.49m,0
Triple Jump,Girls,Open,Finals,-1.7,Kishna Gaye,12,10, St.Elizabeth Tec,[],11.39m,0
Triple Jump,Girls,Open,Finals,NWI,"Broomfield, Robiann",12,11, Immaculate Conce,[],11.38m,0
Triple Jump,Girls,Open,Finals,0.5,"Bryan, Donique",12,12, Edwin Allen High,[],11.34m,0
Triple Jump,Girls,Open,Finals,-0.2,"Kerr, Britny",12,13, Hydel High School,[],11.31m,0
Triple Jump,Girls,Open,Finals,0.4,"Morgan, Safia",12,14, Immaculate Conce,[],11.29m,0
Triple Jump,Girls,Open,Finals,NWI,"Williams, Shantal",12,15, Excelsior High,[],11.20m,0
Triple Jump,Girls,Open,Finals,FOUL,"Reid, Rusheen",12,, The Queens School,[],FOUL,"['', 'FOUL']"
Triple Jump,Girls,Open,Finals,FOUL,"Lean, Chelsi",12,, ST Andrew High,[],FOUL,['FOUL']
Triple Jump,Girls,Open,Finals,FOUL,"Thompson, Kavanja",12,, St. Jago High,[],FOUL,"['', 'FOUL']"
Shot Put,Boys,1,Finals,,"Dacres, Fedrick",12,1, Calabar High School,[],18.32m,9
Shot Put,Boys,1,Finals,,"Onyia, Emmanuel",12,2, Munro College,[],18.06m,7
Shot Put,Boys,1,Finals,,"Miller, Ashina",12,3, Calabar High School,[],17.87m,6
Shot Put,Boys,1,Finals,,"Lewis, Shaquille",12,4, Jamaica College,[],16.60m,5
Shot Put,Boys,1,Finals,,"Dacosta, Chadrick",12,5, Kingston College,[],16.40m,4
Shot Put,Boys,1,Finals,,"Meikle, Michael",12,6, Kingston College,[],16.29m,3
Shot Put,Boys,1,Finals,,"Ford, Kashif",12,7, Wolmers' Boys SC,[],16.01m,2
Shot Put,Boys,1,Finals,,"Longmore, Alec-Verne",12,8, Jamaica College,[],14.84m,1
Shot Put,Boys,1,Finals,,"Campbell, Roderick",12,9, St. Jago High,[],14.52m,0
Shot Put,Boys,1,Finals,,"Pitt, Derrick",12,10, St. Jago High,[],13.99m,0
Shot Put,Boys,1,Finals,,"Morgon, Seldwyn",12,11, Claude McKAY Hig,[],13.96m,0
Shot Put,Boys,1,Finals,,"Welch, Orega",12,12, Lennon High School,[],13.75m,0
Shot Put,Boys,1,Finals,,"Smith, Miguel",12,13, Bog Walk,[],13.73m,0
Shot Put,Boys,1,Finals,,"Hall, Lorenzo",12,14, Petersfield High,[],13.52m,0
Shot Put,Boys,1,Finals,,"Campbell, Ramon",12,15, Wolmers' Boys SC,[],12.86m,0
Shot Put,Boys,1,Finals,,"Shaw, Jevaughn",12,16, Munro College,[],12.35m,0
Shot Put,Boys,1,Finals,,"Reid, Sanjay",12,17, Foga Road High S,[],12.05m,0
Shot Put,Boys,1,Finals,,"Saunders, Rushae",12,18, Bustamante High,[],11.96m,0
Shot Put,Boys,1,Finals,,"Mayanja, Emmanuel",12,19, Ardenne High School,[],11.83m,0
Shot Put,Boys,2,Finals,,"Gayle, Demar",12,1, Edwin Allen,[],16.74m,9
Shot Put,Boys,2,Finals,,"Kitson, Shamar",12,2, Calabar High School,[],15.64m,7
Shot Put,Boys,2,Finals,,"Crooks, Stevon",12,3, Petersfield High,[],15.55m,6
Shot Put,Boys,2,Finals,,"Donald, Stefan",12,4, Calabar High School,[],15.22m,5
Shot Put,Boys,2,Finals,,"Rodney, Romario",12,5, Buff Bay High SC,[],14.59m,4
Shot Put,Boys,2,Finals,,"Stephenson, Jason",12,6, Jamaica College,[],14.41m,3
Shot Put,Boys,2,Finals,,"Brown, Jamie-Hugh",12,7, Kingston College,[],14.40m,2
Shot Put,Boys,2,Finals,,"Parkinson, Alexander",12,8, Jamaica College,[],14.28m,1
Shot Put,Boys,2,Finals,,"Dunkley, Kino",12,9, Munro College,[],14.13m,0
Shot Put,Boys,2,Finals,,"Francis, Javaunie",12,10, Balaclava High S,[],13.59m,0
Shot Put,Boys,2,Finals,,"Lewis, Keiran",12,11, Old Harbour High,[],13.56m,0
Shot Put,Boys,2,Finals,,"Powell, Mikhail",12,12, Munro College,[],13.28m,0
Shot Put,Boys,2,Finals,,"Chin, Tajai",12,13, St.Elizabeth Tec,[],12.78m,0
Shot Put,Boys,2,Finals,,"Bennett, Jamaine",12,14, Kingston College,[],12.74m,0
Shot Put,Boys,2,Finals,,"Reid, John-Mark",12,15, St. Jago High,[],12.37m,0
Shot Put,Boys,2,Finals,,"Carthy, Vashon",12,16, Ascot High,[],12.31m,0
Shot Put,Boys,2,Finals,,"Willis, Romario",12,17, Buff Bay High SC,[],12.29m,0
Shot Put,Boys,2,Finals,,"Gobourne, Kenroy",12,18, Titchfield High,[],J12.29m,0
Shot Put,Girls,Open,Finals,9,"Thomas, Danniel",12,1, Edwin Allen High,[],14.47mR,9
Shot Put,Girls,Open,Finals,7,"Grange, Gleneve",12,2, Holmwood Technical,[],13.74mR,7
Shot Put,Girls,Open,Finals,,"Knibb, Kellion",12,3, St. Jago High,[],13.52m,6
Shot Put,Girls,Open,Finals,,"Marston, Sasha-Gay",12,4, Edwin Allen High,[],12.80m,5
Shot Put,Girls,Open,Finals,,"Brown, Devene",12,5, ST Hughs,[],12.68m,4
Shot Put,Girls,Open,Finals,,"Hall, Samantha",12,6, St. Jago High,[],12.02m,3
Shot Put,Girls,Open,Finals,,"Scarlett, Debisha",12,7, Vere Technical High,[],11.82m,2
Shot Put,Girls,Open,Finals,,"Robinson, Alsian",12,8, Holmwood Technical,[],11.54m,1
Shot Put,Girls,Open,Finals,,"Jenkins, Amanda",12,9, Immaculate Conce,[],11.53m,0
Shot Put,Girls,Open,Finals,,"Binns, Isheka",12,10, Manchester High,[],11.41m,0
Shot Put,Girls,Open,Finals,,"Simpson, Decoda",12,11, ST Andrew High,[],10.85m,0
Shot Put,Girls,Open,Finals,,"Johnson, Samanthia",12,12, Immaculate Conce,[],10.73m,0
Discus Throw,Boys,1,Finals,,"Dacres, Fedrick",12,1, Calabar High School,[],60.43m,9
Discus Throw,Boys,1,Finals,,"Miller, Ashina",12,2, Calabar High School,[],56.46m,7
Discus Throw,Boys,1,Finals,,"Dacosta, Chadrick",12,3, Kingston College,[],54.15m,6
Discus Throw,Boys,1,Finals,,"Onyia, Emmanuel",12,4, Munro College,[],53.04m,5
Discus Throw,Boys,1,Finals,,"Shaw, Jevaughn",12,5, Munro College,[],53.03m,4
Discus Throw,Boys,1,Finals,,"Watson, Glenford",12,6, Petersfield High,[],48.35m,3
Discus Throw,Boys,1,Finals,,"Morgon, Seldwyn",12,7, Claude McKAY Hig,[],47.25m,2
Discus Throw,Boys,1,Finals,,"Ford, Kashif",12,8, Wolmers' Boys SC,[],47.06m,1
Discus Throw,Boys,1,Finals,,"Meikle, Michael",12,9, Kingston College,[],46.50m,0
Discus Throw,Boys,1,Finals,,"Lewis, Shaquille",12,10, Jamaica College,[],46.20m,0
Discus Throw,Boys,1,Finals,,"Hall, Lorenzo",12,11, Petersfield High,[],44.89m,0
Discus Throw,Boys,1,Finals,,"Davidson, Mark",12,12, Bridgeport,[],44.51m,0
Discus Throw,Boys,1,Finals,,"Intosh, Kurt",12,13, Vere Technical High,[],42.91m,0
Discus Throw,Boys,1,Finals,,"Campbell, Roderick",12,14, St. Jago High,[],41.29m,0
Discus Throw,Boys,1,Finals,,"Tucker, Fabeon",12,15, Edwin Allen,[],41.20m,0
Discus Throw,Boys,1,Finals,,"Longmore, Alec-Verne",12,16, Jamaica College,[],41.15m,0
Discus Throw,Boys,1,Finals,,"Thomas, Robert",12,17, Paul Bogle High,[],40.33m,0
Discus Throw,Boys,2,Finals,,"Kitson, Shamar",12,1, Calabar High School,[],49.18m,9
Discus Throw,Boys,2,Finals,,"Dunkley, Kino",12,2, Munro College,[],47.40m,7
Discus Throw,Boys,2,Finals,,"Beckford, Andre",12,3, Calabar High School,[],47.30m,6
Discus Throw,Boys,2,Finals,,"Gayle, Demar",12,4, Edwin Allen,[],46.97m,5
Discus Throw,Boys,2,Finals,,"Parkinson, Alexander",12,5, Jamaica College,[],43.05m,4
Discus Throw,Boys,2,Finals,,"Heath, Tevin",12,6, Munro College,[],42.28m,3
Discus Throw,Boys,2,Finals,,"Spencer, Derrick",12,7, Hydel High School,[],42.14m,2
Discus Throw,Boys,2,Finals,,"Rodney, Romario",12,8, Buff Bay High SC,[],40.86m,1
Discus Throw,Boys,2,Finals,,"Stephenson, Jason",12,9, Jamaica College,[],39.87m,0
Discus Throw,Boys,2,Finals,,"Leod, Zachary",12,10, Kingston College,[],38.73m,0
Discus Throw,Boys,2,Finals,,"Crooks, Stevon",12,11, Petersfield High,[],38.42m,0
Discus Throw,Boys,2,Finals,,"Lindo, Delano",12,12, St. Jago High,[],35.65m,0
Discus Throw,Girls,2,Finals,,"Grange, Gleneve",12,1, Holmwood Technical,[],43.32m,9
Discus Throw,Girls,2,Finals,,"Waite, Shannique",12,2, St. Jago High,[],42.72m,7
Discus Throw,Girls,2,Finals,,"Crosse, Tasha",12,3, Edwin Allen High,[],41.66m,6
Discus Throw,Girls,2,Finals,,"Street, Felecia",12,4, Grange Hill High,[],37.74m,5
Discus Throw,Girls,2,Finals,,"Frazer, Rochelle",12,5, Edwin Allen High,[],37.71m,4
Discus Throw,Girls,2,Finals,,"Deacon, Kristen",12,6, Wolmers Girls' S,[],37.04m,3
Discus Throw,Girls,2,Finals,,"Simpson, Decoda",12,7, ST Andrew High,[],36.75m,2
Discus Throw,Girls,2,Finals,,"Lawrence, Shadae",12,8, Vere Technical High,[],35.82m,1
Discus Throw,Girls,2,Finals,,"Smith, Shereece",12,9, Manchester High,[],35.65m,0
Discus Throw,Girls,2,Finals,,"Neish, Natanya",12,10, Holmwood Technical,[],35.40m,0
Discus Throw,Girls,2,Finals,,"Harris, Venique",12,11, ST Andrew High,[],35.29m,0
Discus Throw,Girls,2,Finals,,"Locke, Omesha",12,12, Manning High School,[],34.42m,0
Discus Throw,Girls,2,Finals,,"Surtees, Anastasia",12,13, ST Hughs,[],32.89m,0
Discus Throw,Girls,2,Finals,,"Gilding, Latoya",12,14, St. Jago High,[],30.36m,0
Discus Throw,Girls,2,Finals,,"Ricketts, Tsahai",12,, Excelsior High,[],FOUL,['FOUL']
Discus Throw,Girls,3,Finals,9,"Gayle, Paul-Ann",12,1, Edwin Allen High,[],42.28mR,9
Discus Throw,Girls,3,Finals,,"Francis, Aliyah",12,2, ST Hughs,[],35.36m,7
Discus Throw,Girls,3,Finals,,"Windross, Nicole",12,3, ST Hughs,[],34.86m,6
Discus Throw,Girls,3,Finals,,"Fullerton, Janell",12,4, Edwin Allen High,[],34.71m,5
Discus Throw,Girls,3,Finals,,"Love, Shanice",12,5, Excelsior High,[],32.82m,4
Discus Throw,Girls,3,Finals,,"Christie, Coya",12,6, Wolmers Girls' S,[],32.70m,3
Discus Throw,Girls,3,Finals,,"Linton, Abbeygail",12,7, Manning High School,[],32.64m,2
Discus Throw,Girls,3,Finals,,"Farlane, Khona",12,8, Holmwood Technical,[],32.49m,1
Discus Throw,Girls,3,Finals,,"Simms, Tracey-Ann",12,9, Holy Childhood High,[],28.51m,0
Discus Throw,Girls,3,Finals,,"Gordon, Moriah",12,10, Ferncourt High,[],28.08m,0
Discus Throw,Girls,3,Finals,,"Brown, Devia",12,11,Hydel High School,[],27.49m,0
Discus Throw,Girls,3,Finals,,"Livingston, Rousheecca",12,, Holmwood Technical,[],FOUL,['FOUL']
Javelin Throw,Boys,Open,Finals,,"Reid, Rolando",12,1, Munro College,[],54.32m,9
Javelin Throw,Boys,Open,Finals,,"Ashman, Ravion",12,2, Calabar High School,[],53.87m,7
Javelin Throw,Boys,Open,Finals,,"Thomas, Orlando",12,3, Bridgeport,[],53.55m,6
Javelin Throw,Boys,Open,Finals,,"Burke, Jerone",12,4, Jamaica College,[],53.48m,5
Javelin Throw,Boys,Open,Finals,,"Reid, Jael",12,5, Kemps High School,[],52.46m,4
Javelin Throw,Boys,Open,Finals,,"Richards, Zaavan",12,6, Kingston College,[],52.10m,3
Javelin Throw,Boys,Open,Finals,,"Tindale, Jenthrow",12,7, Edwin Allen,[],51.37m,2
Javelin Throw,Boys,Open,Finals,,"Henry, Demoy",12,8, Calabar High School,[],49.59m,1
Javelin Throw,Boys,Open,Finals,,"Edmonson, Moses",12,9, Kingston College,[],48.54m,0
Javelin Throw,Boys,Open,Finals,,"Gordon, Che-Andre",12,10, Wolmers' Boys SC,[],47.52m,0
Javelin Throw,Boys,Open,Finals,,"Intosh, Kurt",12,11, Vere Technical High,[],46.84m,0
Javelin Throw,Boys,Open,Finals,,"Gordon, Randy",12,12, St. Jago High,[],46.57m,0
Javelin Throw,Boys,Open,Finals,,"Messam, Jeremiah",12,13, Lennon High School,[],43.93m,0
Javelin Throw,Boys,Open,Finals,,"Perkins, Rushane",12,14, Jamaica College,[],42.55m,0
Javelin Throw,Girls,Open,Finals,,"Thomas, Danniel",12,1, Edwin Allen High,[],40.74m,9
Javelin Throw,Girls,Open,Finals,,"Neish, Natanya",12,2, Holmwood Technical,[],40.25m,7
Javelin Throw,Girls,Open,Finals,,"Knibb, Kellion",12,3, St. Jago High,[],39.88m,6
Javelin Throw,Girls,Open,Finals,,"Briscoe, Rashema",12,4, Edwin Allen High,[],36.81m,5
Javelin Throw,Girls,Open,Finals,,"Binns, Isheka",12,5, Manchester High,[],34.60m,4
Javelin Throw,Girls,Open,Finals,,"Nelson, Taleika",12,6, Vere Technical High,[],34.27m,3
Javelin Throw,Girls,Open,Finals,,"Nation, Deveena",12,7, Buff Bay High SC,[],34.14m,2
Javelin Throw,Girls,Open,Finals,,"Brown, Devia",12,8,Hydel High School,[],33.31m,1
Javelin Throw,Girls,Open,Finals,,"Gonzales, Fayon",12,9, St. Jago High,[],32.04m,0
Javelin Throw,Girls,Open,Finals,,"Grange, Gleneve",12,10, Holmwood Technical,[],29.87m,0
Javelin Throw,Girls,Open,Finals,,"Peters, Candice",12,11, Immaculate Conce,[],28.36m,0
Javelin Throw,Girls,Open,Finals,,"Christie, Keja",12,12, Herbert Morrison,[],25.43m,0
High Jump,Boys,2,Finals,,"Bryan, Christoffe",12,1, Wolmers' Boys SC,"[[], []]",2.10mR   9,9
High Jump,Boys,2,Finals,,"Rodney, Romario",12,2, Buff Bay High SC,"[[], []]",1.95m,7
High Jump,Boys,2,Finals,,"Brown, Clayton",12,3, Jamaica College,"[[], []]",1.90m,6
High Jump,Boys,2,Finals,,"Murphy, Odel",12,4, St. Jago High,"[[], []]",J1.90m,4.50
High Jump,Boys,2,Finals,,"Anderson, Rashawn",12,4, Calabar High School,"[[], []]",J1.90m,4.50
High Jump,Boys,2,Finals,,"Ogilvie, Javier",12,6, Wolmers' Boys SC,"[[], []]",1.85m,1.50
High Jump,Boys,2,Finals,,"Powell, Akeem",12,6, Jamaica College,"[[], []]",1.85m,1.50
High Jump,Boys,2,Finals,,"Ramsay, Chevon",12,6, Kingston College,"[[], []]",1.85m,1.50
High Jump,Boys,2,Finals,,"Chatoo, Shakiel",12,6, Calabar High School,"[[], []]",1.85m,1.50
High Jump,Boys,2,Finals,,"Kennedy, Nikaho",12,10, Munro College,"[[], []]",J1.85m,0
High Jump,Boys,2,Finals,,"Brown, Trevaughn",12,10, Kingston College,"[[], []]",J1.85m,0
High Jump,Boys,2,Finals,,"Blake, Triwayne",12,12, Herbert Morrison,"[[], []]",1.75m,0
High Jump,Boys,3,Finals,,"Welington, Sammawi",12,1, Kingston College,"[[], []]",1.75m,9
High Jump,Boys,3,Finals,,"Lowe, Jevier",12,2, Calabar High School,"[[], []]",J1.75m,7
High Jump,Boys,3,Finals,,"Walters, Luke",12,3, Kingston College,"[[], []]",J1.75m,6
High Jump,Boys,3,Finals,,"Williams, Peter",12,4, Calabar High School,"[[], []]",1.70m,4.50
High Jump,Boys,3,Finals,,"Davis, Jon-Michael",12,4, Wolmers' Boys SC,"[[], []]",1.70m,4.50
High Jump,Boys,3,Finals,,"Brown, Kwesi",12,6, St. Andrew Techn,"[[], []]",J1.70m,3
High Jump,Boys,3,Finals,,"Dawkins, Rashaun",12,7, St. Jago High,"[[], []]",J1.70m,2
High Jump,Boys,3,Finals,,"Cameron, Demario",12,8, Wolmers' Boys SC,"[[], []]",J1.70m,1
High Jump,Boys,3,Finals,,"Morgan, Joshua",12,9, Hydel High School,"[[], []]",1.65m,0
High Jump,Boys,3,Finals,,"Wilson, Lushane",12,10, St. Jago High,"[[], []]",J1.65m,0
High Jump,Boys,3,Finals,,"Jackson, Jordan",12,11, St.Elizabeth Tec,"[[], []]",J1.65m,0
High Jump,Boys,3,Finals,,"Green, Naime",12,12, Jamaica College,"[[], []]",1.60m,0
High Jump,Girls,2,Finals,,"Taylor, Krista-Gay",12,1, Convent OF Mercy,"[[], []]",1.73m,9
High Jump,Girls,2,Finals,,"Morgan, Safia",12,2, Immaculate Conce,"[[], []]",1.71m,7
High Jump,Girls,2,Finals,,"Vidal-Whyte, Jehvania",12,3, Vere Technical High,"[[], []]",J1.71m,6
High Jump,Girls,2,Finals,,"Hanson, Sashane",12,4, Herbert Morrison,"[[], []]",1.68m,5
High Jump,Girls,2,Finals,,"Bryan, Donique",12,5, Edwin Allen High,"[[], []]",1.65m,4
High Jump,Girls,2,Finals,,"Patten, Onessa",12,6, Edwin Allen High,"[[], []]",J1.65m,3
High Jump,Girls,2,Finals,,"Medley, Rene'",12,7, Vere Technical High,"[[], []]",J1.65m,2
High Jump,Girls,2,Finals,,"Pherson, Shanice",12,8, Holmwood Technical,"[[], []]",1.62m,1
High Jump,Girls,2,Finals,,"Lamb, Danica",12,9, Manchester High,"[[], []]",J1.62m,0
High Jump,Girls,2,Finals,,"Moncrieffe, Tamara",12,10, Holmwood Technical,"[[], []]",1.58m,0
High Jump,Girls,2,Finals,,"Walker, Michellae",12,11, ST Andrew High,"[[], []]",J1.58m,0
